product_id,name,img,subcategory,main_category,seller,price,discount,target_audience,extract_images
1,Blazer 1,/fitted_images/1_extracted.png,Blazer,Top Wear,FashionStore,1001,1,Unisex,1_extracted.png
2,Blazer 2,/fitted_images/2_extracted.png,Blazer,Top Wear,FashionStore,1002,2,Unisex,2_extracted.png
3,Blazer 3,/fitted_images/3_extracted.png,Blazer,Top Wear,FashionStore,1003,3,Unisex,3_extracted.png
4,Blazer 4,/fitted_images/4_extracted.png,Blazer,Top Wear,FashionStore,1004,4,Unisex,4_extracted.png
5,Blazer 5,/fitted_images/5_extracted.png,Blazer,Top Wear,FashionStore,1005,5,Unisex,5_extracted.png
6,Blazer 6,/fitted_images/6_extracted.png,Blazer,Top Wear,FashionStore,1006,6,Unisex,6_extracted.png
7,Blazer 7,/fitted_images/7_extracted.png,Blazer,Top Wear,FashionStore,1007,7,Unisex,7_extracted.png
8,Blazer 8,/fitted_images/8_extracted.png,Blazer,Top Wear,FashionStore,1008,8,Unisex,8_extracted.png
9,Blazer 9,/fitted_images/9_extracted.png,Blazer,Top Wear,FashionStore,1009,9,Unisex,9_extracted.png
10,Blazer 10,/fitted_images/10_extracted.png,Blazer,Top Wear,FashionStore,1010,10,Unisex,10_extracted.png
11,Blazer 11,/fitted_images/11_extracted.png,Blazer,Top Wear,FashionStore,1011,11,Unisex,11_extracted.png
12,Blazer 12,/fitted_images/12_extracted.png,Blazer,Top Wear,FashionStore,1012,12,Unisex,12_extracted.png
13,Blazer 13,/fitted_images/13_extracted.png,Blazer,Top Wear,FashionStore,1013,13,Unisex,13_extracted.png
14,Blazer 14,/fitted_images/14_extracted.png,Blazer,Top Wear,FashionStore,1014,14,Unisex,14_extracted.png
15,Blazer 15,/fitted_images/15_extracted.png,Blazer,Top Wear,FashionStore,1015,15,Unisex,15_extracted.png
16,Blazer 16,/fitted_images/16_extracted.png,Blazer,Top Wear,FashionStore,1016,16,Unisex,16_extracted.png
17,Blazer 17,/fitted_images/17_extracted.png,Blazer,Top Wear,FashionStore,1017,17,Unisex,17_extracted.png
18,Blazer 18,/fitted_images/18_extracted.png,Blazer,Top Wear,FashionStore,1018,18,Unisex,18_extracted.png
19,Blazer 19,/fitted_images/19_extracted.png,Blazer,Top Wear,FashionStore,1019,19,Unisex,19_extracted.png
20,Blazer 20,/fitted_images/20_extracted.png,Blazer,Top Wear,FashionStore,1020,20,Unisex,20_extracted.png
21,Blazer 21,/fitted_images/21_extracted.png,Blazer,Top Wear,FashionStore,1021,21,Unisex,21_extracted.png
22,Blazer 22,/fitted_images/22_extracted.png,Blazer,Top Wear,FashionStore,1022,22,Unisex,22_extracted.png
23,Blazer 23,/fitted_images/23_extracted.png,Blazer,Top Wear,FashionStore,1023,23,Unisex,23_extracted.png
24,Blazer 24,/fitted_images/24_extracted.png,Blazer,Top Wear,FashionStore,1024,24,Unisex,24_extracted.png
25,Blazer 25,/fitted_images/25_extracted.png,Blazer,Top Wear,FashionStore,1025,25,Unisex,25_extracted.png
26,Blazer 26,/fitted_images/26_extracted.png,Blazer,Top Wear,FashionStore,1026,26,Unisex,26_extracted.png
27,Blazer 27,/fitted_images/27_extracted.png,Blazer,Top Wear,FashionStore,1027,27,Unisex,27_extracted.png
28,Blazer 28,/fitted_images/28_extracted.png,Blazer,Top Wear,FashionStore,1028,28,Unisex,28_extracted.png
29,Blazer 29,/fitted_images/29_extracted.png,Blazer,Top Wear,FashionStore,1029,29,Unisex,29_extracted.png
30,Blazer 30,/fitted_images/30_extracted.png,Blazer,Top Wear,FashionStore,1030,30,Unisex,30_extracted.png
31,Blazer 31,/fitted_images/31_extracted.png,Blazer,Top Wear,FashionStore,1031,31,Unisex,31_extracted.png
32,Blazer 32,/fitted_images/32_extracted.png,Blazer,Top Wear,FashionStore,1032,32,Unisex,32_extracted.png
33,Pants 33,/fitted_images/33_extracted.png,Pants,Bottom Wear,FashionStore,1033,33,Unisex,33_extracted.png
34,Pants 34,/fitted_images/34_extracted.png,Pants,Bottom Wear,FashionStore,1034,34,Unisex,34_extracted.png
35,Pants 35,/fitted_images/35_extracted.png,Pants,Bottom Wear,FashionStore,1035,35,Unisex,35_extracted.png
36,Pants 36,/fitted_images/36_extracted.png,Pants,Bottom Wear,FashionStore,1036,36,Unisex,36_extracted.png
37,Pants 37,/fitted_images/37_extracted.png,Pants,Bottom Wear,FashionStore,1037,37,Unisex,37_extracted.png
38,Pants 38,/fitted_images/38_extracted.png,Pants,Bottom Wear,FashionStore,1038,38,Unisex,38_extracted.png
39,Pants 39,/fitted_images/39_extracted.png,Pants,Bottom Wear,FashionStore,1039,39,Unisex,39_extracted.png
40,Pants 40,/fitted_images/40_extracted.png,Pants,Bottom Wear,FashionStore,1040,40,Unisex,40_extracted.png
41,Pants 41,/fitted_images/41_extracted.png,Pants,Bottom Wear,FashionStore,1041,41,Unisex,41_extracted.png
42,Pants 42,/fitted_images/42_extracted.png,Pants,Bottom Wear,FashionStore,1042,42,Unisex,42_extracted.png
43,Pants 43,/fitted_images/43_extracted.png,Pants,Bottom Wear,FashionStore,1043,43,Unisex,43_extracted.png
44,Pants 44,/fitted_images/44_extracted.png,Pants,Bottom Wear,FashionStore,1044,44,Unisex,44_extracted.png
45,Pants 45,/fitted_images/45_extracted.png,Pants,Bottom Wear,FashionStore,1045,45,Unisex,45_extracted.png
46,Pants 46,/fitted_images/46_extracted.png,Pants,Bottom Wear,FashionStore,1046,46,Unisex,46_extracted.png
47,Pants 47,/fitted_images/47_extracted.png,Pants,Bottom Wear,FashionStore,1047,47,Unisex,47_extracted.png
48,Pants 48,/fitted_images/48_extracted.png,Pants,Bottom Wear,FashionStore,1048,48,Unisex,48_extracted.png
49,Pants 49,/fitted_images/49_extracted.png,Pants,Bottom Wear,FashionStore,1049,49,Unisex,49_extracted.png
50,Pants 50,/fitted_images/50_extracted.png,Pants,Bottom Wear,FashionStore,1050,50,Unisex,50_extracted.png
51,Pants 51,/fitted_images/51_extracted.png,Pants,Bottom Wear,FashionStore,1051,51,Unisex,51_extracted.png
52,Pants 52,/fitted_images/52_extracted.png,Pants,Bottom Wear,FashionStore,1052,52,Unisex,52_extracted.png
53,Pants 53,/fitted_images/53_extracted.png,Pants,Bottom Wear,FashionStore,1053,53,Unisex,53_extracted.png
54,Pants 54,/fitted_images/54_extracted.png,Pants,Bottom Wear,FashionStore,1054,54,Unisex,54_extracted.png
55,Pants 55,/fitted_images/55_extracted.png,Pants,Bottom Wear,FashionStore,1055,55,Unisex,55_extracted.png
56,Pants 56,/fitted_images/56_extracted.png,Pants,Bottom Wear,FashionStore,1056,56,Unisex,56_extracted.png
57,Pants 57,/fitted_images/57_extracted.png,Pants,Bottom Wear,FashionStore,1057,57,Unisex,57_extracted.png
58,Pants 58,/fitted_images/58_extracted.png,Pants,Bottom Wear,FashionStore,1058,58,Unisex,58_extracted.png
59,Pants 59,/fitted_images/59_extracted.png,Pants,Bottom Wear,FashionStore,1059,59,Unisex,59_extracted.png
60,Pants 60,/fitted_images/60_extracted.png,Pants,Bottom Wear,FashionStore,1060,60,Unisex,60_extracted.png
61,Pants 61,/fitted_images/61_extracted.png,Pants,Bottom Wear,FashionStore,1061,61,Unisex,61_extracted.png
62,Pants 62,/fitted_images/62_extracted.png,Pants,Bottom Wear,FashionStore,1062,62,Unisex,62_extracted.png
63,Pants 63,/fitted_images/63_extracted.png,Pants,Bottom Wear,FashionStore,1063,63,Unisex,63_extracted.png
64,Pants 64,/fitted_images/64_extracted.png,Pants,Bottom Wear,FashionStore,1064,64,Unisex,64_extracted.png
65,Shorts 65,/fitted_images/65_extracted.png,Shorts,Bottom Wear,FashionStore,1065,65,Unisex,65_extracted.png
66,Shorts 66,/fitted_images/66_extracted.png,Shorts,Bottom Wear,FashionStore,1066,66,Unisex,66_extracted.png
67,Shorts 67,/fitted_images/67_extracted.png,Shorts,Bottom Wear,FashionStore,1067,67,Unisex,67_extracted.png
68,Shorts 68,/fitted_images/68_extracted.png,Shorts,Bottom Wear,FashionStore,1068,68,Unisex,68_extracted.png
69,Shorts 69,/fitted_images/69_extracted.png,Shorts,Bottom Wear,FashionStore,1069,69,Unisex,69_extracted.png
70,Shorts 70,/fitted_images/70_extracted.png,Shorts,Bottom Wear,FashionStore,1070,0,Unisex,70_extracted.png
71,Shorts 71,/fitted_images/71_extracted.png,Shorts,Bottom Wear,FashionStore,1071,1,Unisex,71_extracted.png
72,Shorts 72,/fitted_images/72_extracted.png,Shorts,Bottom Wear,FashionStore,1072,2,Unisex,72_extracted.png
73,Shorts 73,/fitted_images/73_extracted.png,Shorts,Bottom Wear,FashionStore,1073,3,Unisex,73_extracted.png
74,Shorts 74,/fitted_images/74_extracted.png,Shorts,Bottom Wear,FashionStore,1074,4,Unisex,74_extracted.png
75,Shorts 75,/fitted_images/75_extracted.png,Shorts,Bottom Wear,FashionStore,1075,5,Unisex,75_extracted.png
76,Shorts 76,/fitted_images/76_extracted.png,Shorts,Bottom Wear,FashionStore,1076,6,Unisex,76_extracted.png
77,Shorts 77,/fitted_images/77_extracted.png,Shorts,Bottom Wear,FashionStore,1077,7,Unisex,77_extracted.png
78,Shorts 78,/fitted_images/78_extracted.png,Shorts,Bottom Wear,FashionStore,1078,8,Unisex,78_extracted.png
79,Shorts 79,/fitted_images/79_extracted.png,Shorts,Bottom Wear,FashionStore,1079,9,Unisex,79_extracted.png
80,Shorts 80,/fitted_images/80_extracted.png,Shorts,Bottom Wear,FashionStore,1080,10,Unisex,80_extracted.png
81,Shorts 81,/fitted_images/81_extracted.png,Shorts,Bottom Wear,FashionStore,1081,11,Unisex,81_extracted.png
82,Shorts 82,/fitted_images/82_extracted.png,Shorts,Bottom Wear,FashionStore,1082,12,Unisex,82_extracted.png
83,Shorts 83,/fitted_images/83_extracted.png,Shorts,Bottom Wear,FashionStore,1083,13,Unisex,83_extracted.png
84,Shorts 84,/fitted_images/84_extracted.png,Shorts,Bottom Wear,FashionStore,1084,14,Unisex,84_extracted.png
